"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"67d5fd30-914e-4ed1-9bad-85f74eff77ab",0,"0.02","0.02",0,"22.78","165.58"
"be7041f0-8d78-44c5-afcc-6e6b5f339119",0,"9.00","59.85",0,"11.95","104.65"
"007257d2-73df-4c35-8a67-859f988b63f0",0,"12.53","99.30",0,"8.42","65.22"
"19214c87-7951-44cf-a660-1ee46c134b9e",0,"5.97","53.77",0,"14.98","110.73"
"8e546f94-ecc4-48ef-84c2-3e7573992a76",0,"9.00","86.75",0,"11.97","77.80"
"bc3111fd-2f5f-4244-baff-3d7afd5e100b",0,"9.00","80.77",0,"11.93","83.72"
"f2686184-3b91-4236-9498-1150b28ced78",0,"12.00","98.40",0,"8.95","66.10"
"0efe4eb0-4769-4a30-81ff-19fac0f571d0",0,"0.02","0.02",0,"0.02","0.02"
"3ec76778-f41a-4e85-95a3-40a60770cff7",0,"0.02","0.02",0,"0.02","0.02"
"beb8bde8-3b2d-4041-99ea-71ae2d06b3b3",0,"0.02","0.02",0,"22.77","165.48"
