"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"47573cdd-41b1-45de-99f3-ca9868f5c684",0,"8.98","23.92",0,"11.97","140.63"
"19cb2901-693f-4092-a9bf-392541ede1f1",0,"8.97","80.38",0,"11.98","84.15"
"47f0a1f9-9b08-46b4-a9c6-17819f73bfa2",0,"0.02","0.02",0,"22.82","165.65"
"6d2fda27-6074-496a-8e5a-98fb3bf27333",0,"0.02","62.83",0,"20.95","101.68"
"9721744e-4666-4fee-b1ee-9c894d213ece",0,"8.98","80.82",0,"11.97","83.70"
"a2e233e7-989a-4191-a73f-943a56916d3e",0,"0.02","0.02",0,"22.80","165.62"
"02d16654-0bcf-49e1-9e3a-019555d6795a",0,"0.02","0.02",0,"0.02","0.02"
"587545b7-eeee-4e34-ac03-c575659ca357",0,"0.02","0.02",0,"0.02","0.02"
"825e0ea5-88ac-4441-8cf0-eda834d4a31b",0,"0.02","0.02",0,"22.78","165.55"
"75b09316-b29d-47c5-8f87-775a2238386e",0,"0.02","0.02",0,"0.02","0.02"
